date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:32	54420/54420	---M--	200	added ('OK')	font/woff2	date:Tue,%2017%20Jul%202018%2014:35:57%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.woff2	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.woff2	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:35	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:35:41%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.eot	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:42	63712/63712	---M--	200	added ('OK')	font/woff	date:Tue,%2017%20Jul%202018%2014:35:55%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.woff	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.woff	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:42	507478/507478	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2014:35:51%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.svg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.svg	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:42	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:35:41%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.eot?	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400d41d.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:45	12220/12220	---M--	200	added ('OK')	font/woff2	date:Tue,%2017%20Jul%202018%2014:36:03%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.woff2	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.woff2	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:47	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:35:58%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.eot	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:48	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:35:58%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.eot?	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400d41d.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:48	14712/14712	---M--	200	added ('OK')	font/woff	date:Tue,%2017%20Jul%202018%2014:36:03%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.woff	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.woff	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:49	98384/98384	---M--	200	added ('OK')	font/ttf	date:Tue,%2017%20Jul%202018%2014:35:53%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.ttf	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.ttf	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:52	30928/30928	---M--	200	added ('OK')	font/ttf	date:Tue,%2017%20Jul%202018%2014:36:02%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.ttf	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.ttf	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:52	107199/107199	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2014:36:00%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.svg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.svg	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:34:59	38784/38784	---M--	200	added ('OK')	font/woff2	date:Tue,%2017%20Jul%202018%2014:36:19%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.woff2	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.woff2	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:35:01	48704/48704	---M--	200	added ('OK')	font/woff	date:Tue,%2017%20Jul%202018%2014:36:18%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.woff	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.woff	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:35:07	378215/378215	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2014:36:14%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.svg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.svg	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:35:08	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2016:48:32%20GMT	http://www.themestarz.net/html/selfer/assets/css/owl.video.play.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/css/owl.video.play.47.delayed	(from http://www.themestarz.net/html/selfer/assets/css/owl.carousel.min.css)
12:35:08	620/620	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2014:37:28%20GMT	http://www.themestarz.net/html/selfer/assets/img/loading.svg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/loading.svg	(from http://www.themestarz.net/html/selfer/assets/css/style.css)
12:35:09	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:36:06%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.eot	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:35:10	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:36:06%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.eot?	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900d41d.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
12:35:12	101932/101932	---M--	200	added ('OK')	font/ttf	date:Tue,%2017%20Jul%202018%2014:36:16%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.ttf	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-solid-900.ttf	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
